date,Retail Sales Index 
12-Jun-05,-
13-Jun-05,-
14-Jun-05,-
15-Jun-05,-
16-Jun-05,-
17-Jun-05,70.2
18-Jun-05,77
19-Jun-05,77.2
20-Jun-05,49.32
21-Jun-05,64.24
22-Jun-05,67.46
23-Jun-05,86.07
24-Jun-05,100
25-Jun-05,115.11
26-Jun-05,135.4
27-Jun-05,148.06
28-Jun-05,154.94
29-Jun-05,157.53
30-Jun-05,163.22
1-Jul-05,152.79
2-Jul-05,178.9
3-Jul-05,186.3
4-Jul-05,220.78
2013 r,219.83
2014 r,207.08
7-Jul-05,207.07
