Bank of Thailand
EC_EI_015 : Private Consumption Indicators
(Unit : Million of Baht or as stated)
Last Updated : 
Retrieved date : 
,,JAN 2000 ,FEB 2000 ,MAR 2000 ,APR 2000 ,MAY 2000 ,JUN 2000 ,JUL 2000 ,AUG 2000 ,SEP 2000 ,OCT 2000 ,NOV 2000 ,DEC 2000 ,JAN 2001 ,FEB 2001 ,MAR 2001 ,APR 2001 ,MAY 2001 ,JUN 2001 ,JUL 2001 ,AUG 2001 ,SEP 2001 ,OCT 2001 ,NOV 2001 ,DEC 2001 ,JAN 2002 ,FEB 2002 ,MAR 2002 ,APR 2002 ,MAY 2002 ,JUN 2002 ,JUL 2002 ,AUG 2002 ,SEP 2002 ,OCT 2002 ,NOV 2002 ,DEC 2002 ,JAN 2003 ,FEB 2003 ,MAR 2003 ,APR 2003 ,MAY 2003 ,JUN 2003 ,JUL 2003 ,AUG 2003 ,SEP 2003 ,OCT 2003 ,NOV 2003 ,DEC 2003 ,JAN 2004 ,FEB 2004 ,MAR 2004 ,APR 2004 ,MAY 2004 ,JUN 2004 ,JUL 2004 ,AUG 2004 ,SEP 2004 ,OCT 2004 ,NOV 2004 ,DEC 2004 ,JAN 2005 ,FEB 2005 ,MAR 2005 ,APR 2005 ,MAY 2005 ,JUN 2005 ,JUL 2005 ,AUG 2005 ,SEP 2005 ,OCT 2005 ,NOV 2005 ,DEC 2005 ,JAN 2006 ,FEB 2006 ,MAR 2006 ,APR 2006 ,MAY 2006 ,JUN 2006 ,JUL 2006 ,AUG 2006 ,SEP 2006 ,OCT 2006 ,NOV 2006 ,DEC 2006 ,JAN 2007 ,FEB 2007 ,MAR 2007 ,APR 2007 ,MAY 2007 ,JUN 2007 ,JUL 2007 ,AUG 2007 ,SEP 2007 ,OCT 2007 ,NOV 2007 ,DEC 2007 ,JAN 2008 ,FEB 2008 ,MAR 2008 ,APR 2008 ,MAY 2008 ,JUN 2008 ,JUL 2008 ,AUG 2008 ,SEP 2008 ,OCT 2008 ,NOV 2008 ,DEC 2008 ,JAN 2009 ,FEB 2009 ,MAR 2009 ,APR 2009 ,MAY 2009 ,JUN 2009 ,JUL 2009 ,AUG 2009 ,SEP 2009 ,OCT 2009 ,NOV 2009 ,DEC 2009 ,JAN 2010 ,FEB 2010 ,MAR 2010 ,APR 2010 ,MAY 2010 ,JUN 2010 ,JUL 2010 ,AUG 2010 ,SEP 2010 ,OCT 2010 ,NOV 2010 ,DEC 2010 ,JAN 2011 ,FEB 2011 ,MAR 2011 ,APR 2011 ,MAY 2011 ,JUN 2011 ,JUL 2011 ,AUG 2011 ,SEP 2011 ,OCT 2011 ,NOV 2011 ,DEC 2011 ,JAN 2012 ,FEB 2012 ,MAR 2012 ,APR 2012 ,MAY 2012 ,JUN 2012 ,JUL 2012 ,AUG 2012 ,SEP 2012 ,OCT 2012 ,NOV 2012 ,DEC 2012 ,JAN 2013 r,FEB 2013 r,MAR 2013 r,APR 2013 r,MAY 2013 r,JUN 2013 r,JUL 2013 r,AUG 2013 r,SEP 2013 r,OCT 2013 r,NOV 2013 r,DEC 2013 r,JAN 2014 r,FEB 2014 r,MAR 2014 r,APR 2014 r,MAY 2014 r,JUN 2014 r,JUL 2014 r,AUG 2014 r,SEP 2014 r,OCT 2014 r,NOV 2014 r,DEC 2014 r,JAN 2015 ,FEB 2015 ,MAR 2015 ,APR 2015 ,MAY 2015 ,JUN 2015 ,JUL 2015 ,AUG 2015 ,SEP 2015 ,OCT 2015 ,NOV 2015 ,DEC 2015 ,JAN 2016 ,FEB 2016 ,MAR 2016 ,Q1/2000 ,Q2/2000 ,Q3/2000 ,Q4/2000 ,Q1/2001 ,Q2/2001 ,Q3/2001 ,Q4/2001 ,Q1/2002 ,Q2/2002 ,Q3/2002 ,Q4/2002 ,Q1/2003 ,Q2/2003 ,Q3/2003 ,Q4/2003 ,Q1/2004 ,Q2/2004 ,Q3/2004 ,Q4/2004 ,Q1/2005 ,Q2/2005 ,Q3/2005 ,Q4/2005 ,Q1/2006 ,Q2/2006 ,Q3/2006 ,Q4/2006 ,Q1/2007 ,Q2/2007 ,Q3/2007 ,Q4/2007 ,Q1/2008 ,Q2/2008 ,Q3/2008 ,Q4/2008 ,Q1/2009 ,Q2/2009 ,Q3/2009 ,Q4/2009 ,Q1/2010 ,Q2/2010 ,Q3/2010 ,Q4/2010 ,Q1/2011 ,Q2/2011 ,Q3/2011 ,Q4/2011 ,Q1/2012 ,Q2/2012 ,Q3/2012 ,Q4/2012 ,Q1/2013 r,Q2/2013 r,Q3/2013 r,Q4/2013 r,Q1/2014 r,Q2/2014 r,Q3/2014 r,Q4/2014 r,Q1/2015 ,Q2/2015 ,Q3/2015 ,Q4/2015 ,Q1/2016 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 r,2014 r,2015 
1,Electricity consumption (million kilowat-hour) 1/,7223.11,6914.29,8086.36,7502.86,8199.22,7923.99,7923.99,8043.81,7779.10,7976.46,7366.33,7527.53,7677.20,7470.15,8410.16,8455.46,8564.74,8368.07,8516.90,8545.69,8344.72,8339.29,7566.38,7628.37,7811.26,7730.89,9122.22,8825.86,9151.04,9010.32,9245.25,9061.16,8787.87,9083.10,8708.78,8643.88,8508.82,8340.02,9649.14,9410.77,10049.48,9465.29,9535.69,9747.64,9407.15,9735.82,9492.25,8797.11,9029.13,9084.50,10583.08,10174.52,10515.96,10031.55,10490.30,10303.57,10165.39,10429.62,10134.46,9356.75,9616.32,9742.06,11165.43,10645.34,11524.95,10928.14,10754.20,10800.45,10546.37,10773.80,10325.34,9698.95,10104.43,10138.38,11933.75,10938.29,11694.61,11400.93,11505.51,11518.19,11229.71,11370.27,11230.64,10470.28,10623.43,10268.38,12499.76,11401.98,12016.29,11944.12,11935.58,12067.73,11797.95,11825.81,11023.15,11174.82,11287.79,10902.27,12568.31,11858.24,12415.07,12156.87,12440.51,12406.64,11796.25,12074.21,10745.03,9900.64,9758.41,10426.80,12135.50,11435.06,12124.89,12023.12,12193.32,12526.48,12163.68,12420.31,11604.09,11489.75,11790.90,11844.66,13604.44,13083.23,14011.96,13469.19,13483.64,13051.47,12990.23,12961.78,12276.02,12184.24,11905.79,11862.37,13122.24,12578.25,13771.07,13468.09,13699.67,13762.09,13429.52,12598.82,11723.62,11435.46,12558.51,13107.10,14611.37,13860.84,14929.52,14182.72,14421.03,14263.65,13814.13,14404.31,14032.70,13512.22,13238.31,13032.34,15204.37,14141.39,15473.53,14305.40,14345.04,14440.27,13985.70,14186.76,13767.96,12025.74,12275.16,12588.17,15223.81,14537.50,15810.81,14952.29,15001.28,14849.71,14599.48,14660.16,14306.01,13209.20,12862.43,12907.41,15579.09,14574.35,16330.97,15500.21,15500.96,15260.48,14968.34,15118.14,14933.55,14285.02,14039.58,13485.74,16302.69,22223.75,23626.07,23746.91,22870.32,23557.52,25388.27,25407.31,23534.04,24664.37,26987.22,27094.28,26435.76,26497.98,28925.54,28690.48,28025.18,28696.72,30722.03,30959.27,29920.83,30523.81,33098.42,32101.01,30798.09,32176.56,34033.83,34253.41,33071.19,33391.57,35362.39,35801.26,34023.77,34758.37,36430.17,36643.40,32719.87,32320.71,35583.06,36883.48,35514.15,37240.00,40564.37,39525.34,37422.04,36890.40,39817.41,40891.28,35757.89,40276.98,42973.08,42498.82,41949.23,41475.02,43920.32,42771.01,39980.46,40087.14,45300.60,44450.47,42175.37,41348.94,46405.53,45729.78,44336.70,43828.01,34980.50,40712.80,46050.50,52076.10,58303.70,65747.90,74328.30,81064.20,86461.50,84591.46,85261.18,92467.05,97887.13,105181.63,112139.17,120298.85,126521.33,133534.99,138578.99,140551.81,140301.41,154751.75,153356.99,167698.11,168146.82,172013.59,177820.95
2,   Household  2/,1401.06,1380.10,1620.04,1765.52,1759.91,1674.06,1645.07,1718.14,1644.61,1642.24,1580.71,1564.47,1602.66,1625.07,1658.57,1950.73,1964.79,1801.86,1792.32,1882.83,1904.75,1835.24,1635.12,1523.97,1524.09,1597.47,1842.06,2048.72,1989.87,1918.61,1942.96,1881.97,1805.93,1845.03,1784.44,1782.03,1687.46,1646.83,1961.26,2141.53,2188.36,2046.23,1982.45,2052.22,1916.64,2011.07,1939.02,1756.50,1747.20,1711.84,2088.20,2353.49,2302.02,2083.93,2123.04,2089.67,2073.51,2085.28,2048.71,1761.31,1758.13,1925.12,2128.94,2354.26,2495.14,2281.02,2188.61,2143.17,2138.33,2176.03,2036.48,1856.65,1887.00,1957.46,2320.13,2446.19,2403.10,2312.58,2300.26,2285.04,2272.65,2252.16,2251.65,2153.15,1912.58,1955.63,2486.70,2575.14,2491.88,2551.82,2403.57,2440.28,2402.25,2357.50,2222.70,2159.74,2164.65,2178.44,2395.66,2679.94,2546.75,2457.61,2499.13,2523.22,2438.87,2532.19,2246.47,2018.72,2019.87,2210.64,2689.77,2768.32,2740.18,2590.81,2610.76,2701.03,2625.49,2602.23,2439.55,2264.78,2428.04,2464.84,2872.45,3136.12,3304.74,3008.08,2906.72,2761.98,2702.21,2709.54,2437.06,2485.90,2333.16,2360.25,2698.29,2742.75,3045.99,2913.06,2933.46,2900.90,2835.38,2706.17,2714.15,2608.07,2643.73,2748.71,3189.98,3304.02,3471.81,3072.57,3048.86,3008.65,2886.65,3029.91,3071.65,2994.71,2803.54,2762.74,3274.00,3564.72,3703.54,3295.03,3211.73,3236.91,3077.68,3102.90,2981.17,2689.28,2485.56,2536.18,3267.96,3585.44,3902.34,3631.19,3495.94,3379.36,3237.88,3302.65,3182.50,2981.21,2676.06,2681.49,3477.80,3609.57,3983.26,3865.13,3726.17,3551.35,3468.79,3457.20,3453.66,3335.31,3213.46,2927.00,3671.29,4401.20,5199.49,5007.81,4787.42,4886.30,5717.39,5579.90,4994.33,4963.61,5957.20,5630.86,5411.50,5295.54,6376.11,5951.31,5706.58,5547.23,6739.44,6286.22,5895.31,5812.19,7130.42,6470.12,6069.16,6164.59,7161.86,6857.95,6656.96,6354.92,7618.84,7246.10,6739.94,6738.75,7684.30,7461.22,6797.38,6920.29,8099.32,7937.29,7306.56,7765.33,9448.94,8370.91,7632.50,7391.69,8701.81,8669.74,8028.39,8582.42,9848.40,8944.16,9096.27,8840.29,10563.29,9526.32,8773.35,8289.70,11118.97,10113.17,9466.36,8835.36,11457.95,10746.31,10246.16,9811.75,6976.50,8063.20,9120.30,10202.90,11287.80,12829.70,14575.80,15999.90,17638.00,18820.87,18176.21,19395.92,21177.92,21963.17,23329.55,24468.20,25481.90,26841.37,27959.80,28681.66,30263.45,33217.68,32791.63,36471.25,37703.25,38988.19,41285.78
3,   Small-scale business (consume 0-30 kw) 2/,646.11,631.27,737.31,764.11,776.30,752.56,734.78,766.40,737.41,727.45,705.78,715.55,708.71,722.02,751.24,827.48,845.60,793.45,790.08,819.55,815.32,793.74,713.13,687.54,693.46,719.10,816.17,863.48,883.57,855.44,852.01,830.15,811.14,816.34,792.46,817.44,757.78,758.89,876.75,903.02,944.98,911.96,902.17,871.60,853.47,896.05,866.17,799.76,794.29,791.35,931.43,984.49,994.78,935.84,947.47,932.81,944.88,962.24,959.58,863.23,855.13,920.30,1003.36,1044.45,1119.78,1062.77,1022.29,1003.71,1001.28,1009.97,960.37,890.73,905.71,945.03,1082.18,1082.43,1100.16,1072.85,1074.02,1077.07,1065.31,1057.64,1070.50,1019.39,939.40,956.34,1157.33,1146.22,1148.51,1186.07,1135.66,1140.61,1136.08,1119.46,1076.57,1192.93,1064.52,1069.03,1148.11,1209.68,1193.03,1172.80,1192.43,1208.95,1170.50,1202.93,1089.31,1011.60,994.08,1079.68,1275.48,1234.54,1264.80,1223.07,1236.84,1265.88,1243.44,1226.77,1185.20,1150.33,1189.31,1214.47,1354.47,1385.35,1453.92,1379.56,1354.09,1296.87,1281.67,1282.01,1193.45,1224.60,1155.32,1163.32,1289.67,1252.54,1397.08,1375.71,1375.47,1362.03,1331.16,1264.74,1252.93,1251.15,1296.93,1304.31,1460.01,1433.38,1524.19,1403.50,1446.74,1380.85,1343.40,1508.66,1532.03,1499.11,1430.74,1400.67,1595.73,1623.89,1710.12,1596.31,1568.20,1554.47,1547.09,1525.81,1481.92,1353.39,1280.66,1316.87,1594.43,1640.85,1772.18,1706.10,1653.13,1626.86,1603.41,1587.60,1566.91,1488.74,1365.37,1383.37,1669.82,1656.26,1811.36,1788.67,1758.37,1688.79,1693.32,1650.35,1665.34,1636.91,1576.43,1475.69,1754.29,2014.69,2292.96,2238.59,2148.78,2181.97,2466.52,2424.96,2194.41,2228.72,2602.49,2493.30,2426.24,2393.42,2759.95,2627.24,2561.98,2517.06,2915.10,2825.17,2785.04,2778.79,3227.00,3027.27,2861.07,2932.93,3255.45,3216.40,3147.53,3053.06,3480.81,3412.34,3388.96,3281.66,3575.51,3571.88,3303.84,3349.24,3722.41,3746.16,3562.30,3758.25,4218.82,3932.63,3700.06,3608.31,4025.32,4068.67,3768.82,4061.25,4361.06,4170.98,4539.80,4427.14,4930.32,4669.75,4361.11,4191.96,5119.13,4883.40,4643.25,4418.56,5256.29,5140.48,4952.60,4806.41,-,-,-,5698.80,6367.20,7040.30,7836.30,8401.10,8823.70,8498.30,8303.17,8695.02,9267.86,9750.76,10342.59,11042.38,11894.13,12552.31,13335.17,13732.89,14380.12,15609.77,15471.12,17133.09,18388.33,18837.73,19767.93
4,   Medium-scale busines (consume 31-999 kw)  2/,1361.81,1287.61,1509.71,1396.57,1525.87,1553.62,1529.95,1570.85,1540.68,1520.58,1443.66,1453.24,1427.57,1411.48,1555.51,1492.01,1597.73,1622.75,1578.79,1608.15,1578.31,1562.60,1467.75,1466.02,1415.31,1405.78,1663.90,1573.98,1669.53,1643.72,1682.32,1639.22,1605.84,1622.02,1564.51,1585.49,1498.88,1471.81,1729.99,1567.72,1746.59,1710.29,1704.98,1748.70,1716.21,1748.28,1747.74,1615.99,1562.76,1539.10,1743.19,1638.03,1792.94,1714.62,1785.85,1717.52,1681.92,1698.23,1672.94,1578.00,1529.54,1569.52,1813.45,1671.36,1864.72,1833.31,1788.00,1780.89,1781.25,1803.41,1764.50,1660.76,1648.61,1678.25,1987.76,1759.31,1932.71,1908.63,1907.26,1924.99,1892.71,1872.21,1896.27,1799.38,1745.45,1707.30,2059.75,1867.26,1964.88,2007.65,1909.12,1915.23,1904.69,1895.49,1842.37,1817.70,1809.34,1780.02,2011.32,1843.00,2005.38,1953.81,1987.40,2013.82,1946.84,1955.69,1831.09,1616.15,1541.68,1659.22,1924.80,1763.69,1945.05,1959.61,1938.37,1988.84,1943.09,1957.12,1889.89,1843.43,1832.48,1821.48,2094.34,1952.37,2114.57,2071.96,2071.63,2022.59,2024.80,1966.66,1895.33,1891.39,1794.45,1780.72,2030.22,1854.07,2100.65,2091.34,2106.18,2073.34,2012.23,1849.65,1706.74,1753.78,1804.14,1903.87,2129.52,1929.69,2151.94,2048.73,2077.49,2028.47,2001.65,2291.38,2314.28,2208.66,2137.79,2109.07,2429.11,2190.32,2456.11,2348.83,2326.54,2361.62,2307.38,2270.26,2282.52,1998.81,1980.66,2028.57,2440.29,2248.91,2520.90,2445.79,2416.88,2422.18,2415.13,2390.43,2372.74,2195.35,2082.29,2122.04,2522.00,2289.50,2618.89,2531.99,2547.30,2472.89,2450.50,2445.14,2470.57,2360.67,2263.57,2205.21,2593.45,4159.13,4476.06,4641.48,4417.48,4394.56,4712.49,4765.25,4496.37,4484.99,4887.22,4927.39,4772.02,4700.67,5024.61,5169.89,5112.02,4845.05,5145.59,5185.29,4949.17,4912.51,5369.39,5350.14,5228.67,5314.62,5600.66,5724.95,5567.87,5512.50,5839.79,5729.04,5555.56,5600.68,5802.19,5948.06,5402.93,5125.70,5668.35,5870.30,5690.44,5748.30,6138.90,6119.02,5753.39,5605.39,6046.06,6191.75,5310.17,5837.53,6130.36,6107.61,6814.32,6675.97,6995.25,6995.54,6551.58,6449.52,7215.60,7254.19,6958.52,6726.33,7440.37,7470.68,7276.37,7062.23,-,-,-,16661.00,17539.80,19075.40,21581.00,22738.70,18052.90,16269.80,16520.96,17694.15,18368.67,19071.62,20007.18,20125.10,20860.71,22208.10,22636.88,22753.86,22354.79,23759.62,23153.37,24889.82,27218.35,27877.83,28913.76
5,   Large-scale business (consume 1000 kw onwards)  2/,2665.91,2509.12,2869.38,2541.07,2906.54,2837.61,2914.96,2876.68,2821.30,2892.15,2752.35,2725.20,2802.07,2725.39,3060.89,2762.07,3047.44,3027.03,3034.07,3069.99,2973.73,3074.18,2888.34,2854.64,2958.27,2797.58,3199.89,3014.49,3230.97,3206.64,3303.02,3313.36,3265.00,3323.68,3243.00,3108.30,3203.70,3086.75,3523.58,3245.59,3519.94,3454.04,3468.24,3619.62,3446.28,3631.42,3561.58,3402.78,3451.69,3626.73,3982.51,3652.17,3980.63,3879.26,3998.71,3994.77,4040.35,4165.52,3969.54,3801.31,3901.05,3797.02,4385.44,3953.85,4349.73,4228.27,4165.37,4186.98,4149.19,4278.38,4156.34,3944.61,3989.88,3980.58,4584.03,4096.18,4583.42,4458.86,4509.22,4516.86,4451.99,4499.06,4413.43,4037.77,4229.23,4058.55,4708.45,4190.52,4695.28,4615.59,4693.47,4739.88,4666.98,4773.27,4581.97,4435.08,4551.71,4408.56,4951.97,4451.82,4922.64,4799.41,4924.48,4877.62,4567.36,4638.14,4204.39,3786.40,3700.84,3806.19,4415.30,3991.53,4480.25,4577.12,4675.70,4731.71,4647.34,4889.65,4624.39,4539.42,4682.64,4631.14,5253.14,4705.03,5189.48,5102.67,5261.81,5206.16,5148.91,5309.65,5067.30,4954.26,4961.00,4879.71,5430.43,4833.66,5317.09,5313.99,5454.54,5458.61,5466.96,4853.19,4486.29,4637.71,4974.27,5233.83,5811.14,5202.07,5874.56,5695.90,5866.22,5704.58,5665.63,5802.35,5721.63,5397.21,5506.35,5277.03,6085.71,5310.00,5981.12,5787.57,5777.52,5845.71,5713.68,5801.70,5683.23,5111.78,5252.34,5250.03,6072.38,5414.14,6079.82,5923.68,5987.33,5999.38,5931.79,6014.66,5886.06,5478.64,5516.74,5429.58,6195.18,5480.91,6179.89,5985.82,6004.82,5913.78,5957.13,6096.50,5931.97,5697.72,5749.06,5659.96,6461.85,8044.40,8285.22,8612.94,8369.70,8588.34,8836.54,9077.79,8817.16,8955.74,9452.09,9881.37,9674.98,9814.03,10219.57,10534.14,10595.78,11060.93,11512.06,12033.82,11936.37,12083.51,12531.84,12501.54,12379.33,12554.49,13138.46,13478.07,12950.26,12996.22,13501.39,14100.33,13790.31,13912.24,14173.87,14369.46,12628.93,11922.33,13048.89,14054.75,14053.47,14566.92,14997.19,15616.88,15331.22,15271.14,15464.74,16380.10,13977.20,16019.24,16772.52,17236.42,16921.19,16869.10,17078.70,17336.91,16596.71,16574.74,17417.64,17918.50,17379.36,17141.49,17646.62,17875.73,17726.19,17870.87,-,-,-,10627.00,13415.70,16250.10,18584.20,21317.80,28352.60,28032.60,29902.17,33312.26,35319.84,37964.19,41163.52,46543.18,49496.23,52121.28,54388.26,55084.50,53079.45,60512.21,61093.18,66949.37,67881.41,69290.25,70390.03
6,   Special business  3/,220.87,214.67,243.15,243.61,249.37,234.45,237.27,250.00,248.50,215.52,221.55,229.43,243.27,229.58,260.02,274.01,270.30,240.00,254.82,263.40,248.47,246.91,215.85,230.89,235.74,237.76,277.08,290.30,277.95,264.30,276.59,275.15,253.60,273.08,253.37,255.80,252.60,255.06,286.38,283.08,276.57,262.48,269.69,282.33,258.52,273.25,276.91,250.89,270.92,257.32,298.00,317.83,305.81,274.67,301.34,300.93,281.04,294.56,292.40,266.50,257.17,278.73,296.65,324.14,317.35,302.51,304.86,310.22,293.62,297.54,289.95,269.41,293.28,291.12,344.95,332.12,328.59,315.12,329.19,326.97,304.88,313.35,319.69,307.41,304.93,296.04,368.04,356.64,340.31,344.17,341.67,351.09,336.46,334.71,316.46,338.50,345.04,332.05,381.24,379.04,371.02,351.55,367.31,373.65,337.57,364.45,328.05,303.29,311.04,336.20,392.44,382.10,373.16,361.55,373.47,389.57,364.60,377.80,351.34,366.54,383.56,384.71,432.12,428.41,418.30,391.70,407.20,392.80,382.66,385.91,359.15,383.95,367.97,376.10,400.13,401.56,426.21,405.59,420.54,421.31,403.72,400.83,401.78,375.14,417.40,427.43,481.19,473.94,473.61,442.44,451.91,457.58,419.16,446.47,452.12,461.75,447.87,444.55,520.17,503.63,519.77,463.13,466.23,477.22,445.98,448.62,449.50,399.89,394.56,408.91,505.32,518.64,525.06,469.18,483.20,488.34,459.33,471.59,473.06,452.76,430.93,435.27,538.60,523.32,557.19,504.92,523.79,518.19,478.00,491.85,500.15,501.82,501.60,473.99,575.67,678.69,727.43,735.78,666.49,732.87,784.31,766.69,693.64,750.57,832.55,805.34,782.25,794.04,822.13,810.54,801.04,826.24,898.32,883.31,853.45,832.55,944.00,908.70,856.91,929.35,975.83,961.04,940.45,969.01,1041.11,1029.22,989.67,1058.33,1101.61,1078.53,995.79,1039.68,1116.81,1127.64,1095.68,1200.40,1238.41,1182.65,1129.01,1144.20,1233.36,1245.57,1177.75,1326.01,1389.98,1328.65,1360.34,1412.59,1486.53,1389.43,1298.01,1308.79,1512.87,1430.87,1397.41,1404.79,1585.43,1519.98,1493.81,1551.27,-,-,-,1556.30,1870.10,2058.20,2329.40,2523.50,2594.30,2710.10,2623.56,2808.39,2977.51,3170.72,3227.76,3461.33,3542.15,3806.66,4029.01,4234.26,4379.81,4750.46,4800.87,5404.99,5586.57,5649.94,6004.01
7,Quantity sales of benzene  (Million litres) 4/,503.55,428.33,395.89,415.24,405.27,508.10,570.65,527.52,496.04,576.76,474.96,570.93,621.22,527.95,578.68,559.57,527.54,557.71,584.59,543.07,567.13,594.33,565.21,581.94,621.91,564.98,629.23,622.69,704.06,734.26,733.00,753.54,682.69,712.90,764.31,816.78,790.43,710.67,808.36,747.03,694.64,806.68,752.30,794.08,742.31,765.08,656.76,753.25,789.35,716.36,788.71,724.73,792.72,735.49,720.12,726.77,694.84,709.32,651.69,723.10,712.92,672.42,703.58,741.94,773.02,743.73,792.84,726.06,656.71,669.41,661.70,612.97,594.50,532.58,600.98,638.06,582.44,648.43,646.57,594.62,544.18,608.64,580.57,671.77,619.11,556.76,597.94,599.73,640.92,626.80,654.31,622.04,547.47,530.71,492.72,462.82,500.30,469.24,477.73,479.08,435.82,438.13,418.74,378.83,356.14,420.95,425.56,502.48,430.53,434.24,479.77,404.41,380.78,440.88,394.92,425.28,430.10,397.74,404.22,407.61,407.71,377.00,433.30,405.44,453.63,482.66,420.83,434.72,433.33,430.23,384.08,441.38,426.98,406.52,389.25,392.05,374.46,362.12,384.28,620.18,408.17,418.44,404.73,446.84,482.63,471.37,513.32,456.35,441.65,490.10,438.74,401.52,411.46,382.26,421.91,419.43,264.88,225.67,295.64,256.89,236.91,214.56,246.22,247.28,217.75,243.42,236.31,234.72,255.58,267.56,255.86,292.26,276.42,207.02,254.16,258.32,238.25,254.00,240.01,283.12,265.31,275.47,235.53,319.74,265.31,158.31,285.02,249.55,271.41,289.18,275.45,338.14,295.68,309.13,321.60,1327.78,1328.60,1594.20,1622.66,1727.85,1644.82,1694.79,1741.47,1816.12,2061.01,2169.23,2294.00,2309.47,2248.36,2288.69,2175.10,2294.41,2252.94,2141.74,2084.11,2088.91,2258.69,2175.62,1944.08,1728.07,1868.93,1785.36,1860.98,1773.81,1867.46,1823.82,1486.24,1447.27,1353.04,1153.70,1348.99,1344.54,1226.08,1250.29,1209.57,1218.01,1341.73,1288.88,1255.69,1222.74,1128.62,1412.63,1270.01,1467.33,1388.10,1251.72,1223.60,786.19,708.37,711.25,714.45,779.01,775.69,750.73,777.13,776.32,743.36,805.98,902.78,926.40,3321.70,3686.90,3890.20,4332.90,4911.80,5591.20,6293.30,6918.10,7355.30,7168.33,7023.39,5873.25,6808.93,8340.36,9021.61,8773.21,8467.29,7243.35,6951.32,5303.00,5030.48,5104.32,5034.00,5330.75,2920.26,3082.56,3228.43
8,Value added Tax at 2000 prices (Millions of Baht),14518.38,16071.00,16242.27,16575.01,15753.17,16160.19,16103.74,16884.65,16520.45,18201.29,17555.06,17710.06,18321.59,15400.46,18403.03,17429.56,17603.98,17531.96,19042.20,17439.12,17584.38,18262.80,17921.06,17604.25,18276.93,16412.45,18104.17,20260.23,19360.91,18272.17,19433.59,19685.63,20054.44,19782.70,19870.62,20267.13,22706.26,19354.05,20658.56,22133.90,21247.83,21018.28,22296.54,20994.31,23268.55,23168.46,22462.51,26003.45,26339.61,23667.74,26266.44,26570.01,24623.54,25325.24,25917.10,26042.98,27438.40,26316.49,29426.57,28612.89,28507.91,28879.04,29105.84,30812.73,28580.43,29068.13,27733.62,30403.55,29351.59,30175.48,29062.35,31234.73,31258.09,30513.64,30686.36,31411.18,32193.91,32186.67,30356.34,31985.54,31037.40,32270.42,30857.62,32158.61,33008.17,31598.69,30936.20,33271.66,31119.32,32005.58,30896.30,33599.53,31789.86,33717.50,33890.75,33444.68,37099.02,33772.72,34097.52,37321.18,33722.92,34440.25,38105.51,36852.93,36913.63,36550.64,32352.94,32926.98,32214.93,26502.23,28550.65,31162.91,28505.42,31107.20,32569.41,31669.32,33912.57,34136.63,34981.32,35660.60,36585.98,33602.51,36468.57,37751.78,33672.26,37586.35,36777.63,37727.75,36405.07,35698.05,38380.30,39347.33,40178.25,37000.25,40729.37,42093.78,39316.94,42082.32,38455.66,42931.60,41326.86,39725.89,37990.69,43211.08,42577.08,44138.80,45327.61,46089.88,45803.38,46315.91,45674.84,47025.66,55278.61,47440.49,49288.30,46228.86,49849.92,45595.32,45760.93,47817.40,45073.04,45216.70,44887.19,47818.06,44558.26,48701.17,45442.68,47576.89,51168.51,44447.99,45156.25,47196.55,46039.57,45047.43,46591.27,47401.39,46359.74,48143.90,45698.42,46649.34,50171.86,43501.80,48461.37,48373.64,44907.86,47431.57,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,46831.65,48488.37,49508.84,53466.41,52125.08,52565.51,54065.69,53788.11,52793.55,57893.31,59173.65,59920.45,62718.86,64400.01,66559.39,71634.42,76273.78,76518.79,79398.48,84355.96,86492.79,88461.29,87488.77,90472.56,92458.08,95791.77,93379.29,95286.66,95543.05,96396.57,96285.69,101052.92,104969.26,105484.35,111872.08,101830.56,87267.81,90775.53,98151.30,104778.56,106657.05,109010.40,110910.45,113425.68,117907.87,123493.04,122714.11,120927.67,132043.49,138209.17,147979.11,142957.65,141206.17,138107.15,137263.51,141720.74,140772.76,138283.55,140352.39,140491.65,142135.02,140713.07,n.a.,n.a.,n.a.,-,-,-,-,-,-,-,-,-,-,-,198295.27,212544.39,229780.96,265312.68,316547.01,352915.41,376915.80,389278.23,424156.24,380973.19,440003.57,485042.68,561189.42,558297.56,559900.36,....
