Bank of Thailand
EC_EI_028_S2 : Tourism Indicators
(Unit: as stated)
Last Updated : 
Retrieved date : 
,,JAN 2015 ,FEB 2015 ,MAR 2015 ,APR 2015 ,MAY 2015 ,JUN 2015 ,JUL 2015 ,AUG 2015 ,SEP 2015 ,OCT 2015 ,NOV 2015 ,DEC 2015 ,JAN 2016 ,FEB 2016 ,MAR 2016 ,APR 2016 ,MAY 2016 ,JUN 2016 ,JUL 2016 ,AUG 2016 ,SEP 2016 ,OCT 2016 ,NOV 2016 ,DEC 2016 ,JAN 2017 ,FEB 2017 ,MAR 2017 ,APR 2017 ,MAY 2017 ,JUN 2017 ,JUL 2017 ,AUG 2017 ,SEP 2017 ,OCT 2017 ,NOV 2017 ,DEC 2017 ,JAN 2018 ,FEB 2018 ,MAR 2018 ,APR 2018 ,MAY 2018 ,JUN 2018 ,JUL 2018 ,AUG 2018 ,SEP 2018 ,OCT 2018 ,NOV 2018 ,DEC 2018 ,JAN 2019 ,FEB 2019 ,MAR 2019 ,APR 2019 ,MAY 2019 ,JUN 2019 ,JUL 2019 ,AUG 2019 p,SEP 2019 p,OCT 2019 p,NOV 2019 p,Q1/2015 ,Q2/2015 ,Q3/2015 ,Q4/2015 ,Q1/2016 ,Q2/2016 ,Q3/2016 ,Q4/2016 ,Q1/2017 ,Q2/2017 ,Q3/2017 ,Q4/2017 ,Q1/2018 ,Q2/2018 ,Q3/2018 ,Q4/2018 ,Q1/2019 ,Q2/2019 ,Q3/2019 p,2015 ,2016 ,2017 ,2018 
11,   South,19.52,11.25,14.94,16.77,14.19,18.43,10.57,7.12,17.39,15.51,17.11,14.85,36.20,27.70,38.70,36.50,28.30,27.40,24.30,21.60,26.30,23.54,24.10,25.94,31.79,29.04,38.20,35.07,27.92,29.54,27.09,23.68,28.02,25.52,25.38,28.69,35.77,33.39,42.34,37.43,31.82,31.67,26.00,23.96,24.64,35.40,27.44,28.52,36.04,35.99,39.87,32.27,32.17,31.42,27.91,23.59,25.77,33.39,25.23,15.24,16.47,11.70,15.83,34.19,30.72,24.07,24.57,32.95,31.49,26.16,26.64,34.00,31.20,23.99,30.13,34.31,30.08,24.48,14.81,28.39,29.38,29.82
12,   North,19.91,15.88,11.38,7.21,7.87,6.21,5.26,6.00,10.59,13.56,13.75,20.32,36.90,39.10,36.90,31.50,29.20,19.20,18.40,20.40,21.30,25.10,30.65,32.79,40.60,39.17,35.38,22.67,26.64,20.12,21.61,21.62,24.83,33.08,36.56,34.71,43.13,39.82,40.48,23.54,27.62,21.88,20.34,21.34,24.49,47.14,40.94,40.52,43.18,42.37,25.19,21.84,27.36,21.50,21.55,20.90,22.29,43.72,38.11,15.72,7.10,7.28,15.88,37.61,26.65,20.02,29.34,38.37,23.07,22.79,34.80,40.70,24.20,21.90,42.62,36.82,23.42,21.73,11.50,28.41,30.03,32.36
13,   Northeast,3.47,2.27,2.52,1.57,2.48,1.57,1.79,1.71,2.36,4.20,2.34,2.80,11.00,14.70,4.30,5.50,6.20,5.80,5.60,6.10,10.50,9.90,10.59,11.72,10.84,15.44,4.95,4.74,5.10,5.38,5.56,8.41,13.53,12.06,13.50,13.33,12.68,15.56,7.27,5.67,16.98,25.50,25.09,23.98,22.48,15.02,13.46,14.17,13.46,13.81,7.16,7.72,14.40,14.11,15.51,20.03,24.13,15.85,13.34,2.75,1.87,1.95,3.11,9.99,5.83,7.39,10.69,10.56,5.05,9.36,13.00,8.80,13.80,21.56,12.40,8.83,9.67,17.70,2.42,8.48,9.52,14.13
14,4.  Average room rental rate  (baht : room) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,   Total,1216.94,1261.91,1237.30,1258.35,1200.35,1167.35,1114.94,1111.55,1218.54,1289.91,1129.09,1255.16,1432.80,1343.80,1311.00,1309.00,1468.50,1519.40,1509.00,1453.70,1514.20,1586.25,1578.74,1623.84,1567.04,1480.55,1384.95,1491.99,1587.82,1612.72,1648.59,1613.57,1617.21,1786.67,1827.54,1824.07,1747.10,1656.04,1639.80,1670.90,1657.74,1624.97,1731.23,1628.93,1690.13,1813.47,1909.25,1933.58,1912.55,1822.98,1750.62,1727.75,1740.05,1676.24,1692.12,1609.42,1555.50,1667.60,1820.58,1238.72,1208.68,1148.34,1224.72,1362.54,1432.29,1492.31,1596.22,1477.80,1563.22,1626.58,1812.72,1681.00,1645.70,1674.47,1845.65,1815.75,1691.84,1614.78,1205.12,1470.84,1623.01,1709.72
16,   Central (including Bangkok),1433.04,1337.68,1393.72,1368.99,1324.16,1315.62,1301.45,1323.08,1304.66,1395.75,1275.68,1374.31,1510.80,1524.50,1541.80,1556.70,1575.70,1473.10,1406.10,1401.40,1391.30,1383.54,1356.54,1390.86,1569.02,1588.17,1466.85,1494.64,1638.72,1612.02,1625.37,1436.40,1488.45,1668.79,1641.46,1607.04,1678.91,1656.04,1682.83,1713.67,1671.38,1649.93,1695.29,1574.38,1575.42,1722.96,1741.62,1744.43,1769.12,1702.46,1737.86,1742.11,1747.89,1703.26,1712.31,1607.22,1534.52,1635.19,1716.70,1388.15,1336.26,1309.73,1348.58,1525.73,1535.17,1399.59,1376.80,1540.89,1579.51,1518.19,1638.92,1668.23,1675.40,1603.97,1748.14,1737.14,1716.43,1611.72,1345.68,1459.32,1569.97,1673.85
17,   South,1713.78,1921.05,1820.28,1783.24,1676.41,1474.32,1542.02,1521.88,1743.73,1731.89,1506.49,1951.68,1871.20,1766.30,1859.00,1988.30,1987.30,2055.00,2196.30,2303.20,2337.80,2423.95,2444.58,2430.87,2050.67,1882.46,1783.29,2080.93,2143.36,2188.50,2293.49,2396.55,2424.32,2603.36,2720.04,2747.87,2210.06,2193.97,2007.77,2061.46,2098.71,2153.29,2401.41,2270.52,2391.66,2521.43,2689.19,2726.33,2482.16,2339.71,2204.94,2205.46,2183.49,2161.35,2236.78,2174.70,2118.73,2281.68,2603.66,1818.37,1644.66,1602.54,1730.02,1832.15,2010.22,2279.10,2433.14,1904.99,2138.01,2370.93,2690.45,2142.41,2096.70,2346.93,2638.65,2354.99,2186.22,2175.97,1698.90,2138.65,2295.78,2306.19
18,   North,1038.00,1075.63,1003.36,1185.18,1064.66,1105.23,831.24,811.18,1069.82,1296.38,937.25,967.27,1197.30,980.50,925.40,795.80,823.00,759.90,845.70,811.50,940.40,1030.98,1067.55,1197.95,1490.36,1213.30,1101.50,913.01,973.94,1049.31,1043.37,1037.44,1054.11,1243.95,1278.14,1278.41,1655.96,1557.06,1432.25,1429.92,1368.39,1087.99,1147.87,1074.03,1079.36,1264.85,1325.05,1360.44,1713.00,1659.59,1530.73,1424.66,1528.96,1308.09,1208.56,1078.32,1044.00,1163.15,1290.93,1039.00,1118.36,904.08,1066.97,1034.39,792.92,865.86,1097.97,1267.27,978.38,1045.19,1266.78,1501.20,1267.10,1084.03,1307.27,1602.20,1389.31,1103.12,1032.10,947.79,1144.28,1289.91
19,   Northeast,682.95,713.28,731.83,695.97,736.15,774.21,785.06,790.04,755.94,735.62,796.94,727.36,762.60,745.30,765.90,816.50,793.30,716.60,772.30,769.00,784.70,771.40,778.67,776.81,823.23,761.58,740.43,781.38,790.94,801.58,817.26,837.11,798.30,757.31,849.17,848.64,874.88,828.90,795.42,809.95,820.99,831.23,824.59,822.67,824.89,810.31,901.62,917.59,931.79,893.94,860.35,831.00,830.05,818.31,834.63,817.19,825.33,842.73,893.22,709.35,735.44,777.01,753.31,757.93,775.46,775.29,775.62,776.43,790.91,816.93,818.46,830.10,815.20,818.07,875.39,909.00,822.15,824.85,743.78,766.02,800.08,834.68
20,5.  Share of revenue from conference/seminar package to total revenue  (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,   Total,26.44,25.02,25.13,21.71,22.78,21.68,24.44,24.21,21.36,21.93,25.48,24.40,23.60,24.30,23.40,22.60,24.10,23.10,23.40,23.80,25.50,23.15,23.70,25.28,26.62,26.25,28.33,29.99,26.74,27.70,28.75,27.57,32.17,27.29,28.54,28.88,29.25,28.40,30.43,31.22,29.88,30.53,28.78,29.54,33.51,35.12,29.95,31.32,32.25,30.88,30.28,30.00,30.60,30.06,29.70,27.42,29.58,33.55,29.66,25.53,22.06,23.34,23.94,23.75,23.29,24.23,24.05,26.81,28.18,29.21,28.26,27.50,27.60,29.00,32.16,29.11,27.44,28.55,23.72,23.83,28.01,29.05
22,   Central (including Bangkok),28.14,28.29,30.60,32.72,28.99,28.16,28.04,31.51,32.40,27.33,28.16,28.54,32.10,27.10,28.10,25.00,25.20,22.60,23.30,24.00,25.00,23.68,23.71,25.90,29.52,26.42,30.10,31.08,28.74,26.79,27.85,28.56,34.42,27.01,27.67,28.72,31.17,29.32,32.70,31.02,31.37,30.19,28.43,29.54,35.67,35.93,29.25,30.48,34.77,32.45,34.06,32.36,31.86,30.70,29.86,29.58,32.20,35.05,29.07,29.01,29.96,30.65,28.01,29.08,24.27,24.12,24.43,28.17,28.90,29.88,27.84,29.40,28.60,30.03,32.59,32.22,29.47,21.62,29.41,25.48,28.70,30.15
23,   South,22.70,36.87,26.98,16.14,21.85,19.75,23.35,23.70,14.17,20.99,38.07,37.11,28.00,26.00,26.00,22.40,29.00,29.90,23.70,23.50,23.80,21.76,23.19,23.36,22.74,27.89,30.88,28.71,25.31,35.78,34.56,25.44,29.89,29.54,28.88,28.73,25.15,28.72,30.39,31.49,29.37,35.22,35.49,29.54,29.14,35.39,30.28,32.39,27.16,29.83,31.26,31.04,29.88,30.38,33.80,27.20,27.37,32.37,28.33,28.85,19.25,20.41,32.06,26.67,27.07,23.66,22.77,26.95,30.34,28.54,29.04,23.70,26.70,27.44,28.89,25.14,26.31,27.51,25.14,25.05,28.54,26.68
24,   North,24.44,17.94,28.45,24.32,24.90,25.28,25.66,24.34,22.14,24.25,20.56,15.95,24.80,25.30,25.80,32.40,24.10,24.40,29.80,28.60,29.60,22.32,24.44,26.78,24.85,26.98,26.53,32.20,25.60,26.36,29.60,30.59,31.61,26.85,30.05,30.09,27.28,28.44,28.68,33.95,28.06,31.26,27.65,29.54,32.34,33.11,31.48,33.49,29.36,29.93,20.20,23.78,29.88,29.63,28.63,27.40,26.05,31.88,32.34,23.61,24.83,24.05,20.25,25.31,26.98,29.31,24.59,26.32,28.10,30.58,28.97,25.30,27.80,27.67,29.46,23.50,24.54,26.67,23.19,26.55,28.04,27.55
25,   Northeast,24.56,25.44,21.71,20.47,23.06,20.27,20.41,25.94,25.05,22.72,22.67,24.00,24.00,22.30,22.80,21.60,25.50,24.40,26.40,24.60,25.70,22.98,23.26,23.57,24.37,22.86,22.30,23.75,21.93,23.45,25.96,26.55,27.52,26.92,29.73,28.56,27.06,24.54,23.35,25.37,26.26,27.36,25.81,29.54,29.84,33.70,30.95,31.62,29.46,26.61,24.52,25.97,27.84,27.73,26.81,27.20,28.64,30.31,29.34,23.90,21.27,23.80,23.14,23.01,23.84,25.52,23.27,23.10,23.07,26.67,28.43,26.50,25.20,28.13,32.26,28.52,25.89,27.61,23.03,23.92,25.10,28.01
26,6.  Share of foreign tourists to total guests (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,   Total,39.90,39.20,39.20,36.66,35.63,36.52,40.01,38.34,36.72,34.25,34.63,34.86,39.02,38.38,39.13,37.22,35.76,36.17,38.73,38.20,35.93,28.66,28.13,30.01,38.76,37.74,38.06,35.94,34.83,35.80,38.10,37.56,35.25,30.72,30.11,33.06,31.92,32.15,32.69,32.86,33.20,32.66,31.72,31.24,30.45,30.70,30.38,30.44,30.45,31.00,30.64,30.99,30.91,31.03,30.78,31.09,31.61,31.95,32.42,39.44,36.27,38.38,34.59,38.84,36.38,37.62,29.00,38.21,35.53,37.00,31.38,32.26,32.90,31.14,30.51,33.86,33.80,31.16,37.13,30.59,35.47,31.70
28,   Central (including Bangkok),46.94,48.25,46.94,43.27,39.89,41.07,47.22,46.73,41.13,38.61,38.96,39.15,45.65,47.53,46.43,43.97,40.34,41.08,46.05,46.33,39.92,34.13,32.52,37.35,45.97,46.01,44.23,42.11,39.36,40.23,44.99,45.27,39.36,33.34,32.53,36.72,48.44,48.77,49.16,49.38,49.89,49.59,46.98,46.03,45.50,45.70,45.31,45.40,45.80,46.80,46.04,46.90,46.50,46.80,46.50,47.16,47.90,47.55,47.88,47.36,41.43,45.14,38.91,45.00,39.56,44.11,34.75,45.42,40.58,43.30,34.29,48.79,49.62,46.17,45.47,46.21,46.73,47.19,43.10,41.74,40.77,47.50
29,   South,59.10,51.21,53.79,50.50,52.72,53.92,54.89,49.71,54.72,52.55,53.73,54.32,58.46,50.71,54.23,50.34,52.70,53.74,54.14,49.79,54.63,51.91,51.90,54.22,58.04,51.02,54.85,49.90,52.03,53.44,53.14,49.72,53.75,51.48,52.12,54.58,58.40,58.40,58.59,58.70,58.98,58.38,56.37,56.02,55.15,55.50,54.99,54.68,54.50,55.37,55.90,56.10,56.05,56.26,55.60,55.80,56.98,57.35,57.64,54.69,52.28,53.09,53.57,54.47,52.26,52.85,52.78,54.68,51.69,52.19,52.85,58.46,58.69,55.85,55.06,55.26,56.14,56.13,53.48,53.12,52.94,57.00
30,   North,17.41,18.91,18.76,17.58,18.60,18.19,22.73,20.74,20.68,16.20,17.40,15.21,17.33,17.20,19.33,18.06,18.36,17.36,21.04,21.05,20.23,15.12,16.29,15.25,16.61,17.87,18.45,17.11,17.41,18.65,21.39,20.24,20.02,15.25,16.10,14.77,17.05,17.35,18.49,18.68,18.98,18.34,19.38,19.15,18.75,18.90,18.35,18.70,18.60,19.04,18.40,18.60,18.80,18.90,18.70,18.90,19.37,19.90,21.05,18.33,18.10,21.39,16.23,17.95,17.92,20.77,15.56,17.59,17.68,20.56,15.35,17.63,18.67,19.09,18.65,18.68,18.77,18.99,18.27,17.81,17.55,18.50
31,   Northeast,2.61,2.37,2.27,2.80,2.31,2.19,2.54,2.59,2.44,1.87,1.91,2.08,2.49,2.31,2.16,2.63,2.22,2.21,2.40,2.44,2.33,1.73,1.85,2.09,2.59,2.72,2.56,2.51,2.24,2.22,2.39,2.39,2.29,1.75,1.86,2.06,3.79,4.11,4.48,4.68,4.80,4.34,4.15,3.79,2.40,2.80,2.88,3.00,2.90,2.80,2.20,2.40,2.30,2.15,2.30,2.50,2.20,2.99,3.11,2.42,2.45,2.52,1.96,2.44,2.07,2.29,1.89,2.62,2.33,2.36,1.89,4.13,4.61,3.45,2.89,2.63,2.28,2.33,2.33,2.24,2.30,3.80
